Day,Month,Year,Date,Open,High,Low,Close,Adj Close,Volume,Average,,
2,12,2020,2/12,133.505005,136.735001,132.342499,135.445007,135.235199,28336000,134.53875,,
3,12,2020,3/12,135.875,136.600006,133.289993,133.960007,133.792023,19952000,134.9449995,,
4,12,2020,4/12,134.485001,135.600006,133.887497,135.582504,135.412476,20224400,134.7437515,,
7,12,2020,7/12,136.012497,137.3125,135,136.067505,135.896881,22324400,136.15625,,
8,12,2020,8/12,135.850006,135.987503,132.815002,133.5,133.332581,27192000,134.4012525,,
9,12,2020,9/12,133.005005,134.139999,128.682495,129.307495,129.145355,40130000,131.411247,,
10,12,2020,10/12,128.690002,130.6875,128.494995,129.722504,129.55983,20776400,129.5912475,,
11,12,2020,11/12,129.672501,130.199997,128.229996,130.132507,129.969299,20926400,129.2149965,,
14,12,2020,14/12,130.880005,133.887497,130.774994,133.087494,132.920593,27015600,132.3312455,,
15,12,2020,15/12,134.397507,134.639999,131.867493,133.604996,133.437454,19301600,133.253746,,
16,12,2020,16/12,134.225006,134.372498,132.125,132.425003,132.258957,22311600,133.248749,,
17,12,2020,17/12,133.667496,133.794998,131.785004,133.412506,133.245224,23138400,132.790001,,
18,12,2020,18/12,133.789993,134.050003,130.705002,132.720001,132.553589,34206400,132.3775025,,
21,12,2020,21/12,130.747498,133.699997,129.675003,133.322495,133.155319,30233200,131.6875,,
22,12,2020,22/12,133.192505,133.372498,130.539993,132.782501,132.615997,18558000,131.9562455,,
23,12,2020,23/12,132.559998,132.75,130.050003,130.092499,129.929367,17914400,131.4000015,,
24,12,2020,24/12,130.372498,131.324997,129.387497,129.9375,129.774582,9788400,130.356247,,
28,12,2020,28/12,130.625,130.625,127.6325,129,128.838226,21256400,129.12875,,
29,12,2020,29/12,129.25,130.725006,128.422501,129.432495,129.270172,17037200,129.5737535,,
30,12,2020,30/12,129.902496,132.137497,128.967499,131.457504,131.292648,22539600,130.552498,,
31,12,2020,31/12,131.365005,131.509995,129.149994,130.550003,130.386322,19242400,130.3299945,,
4,1,2021,4/1,131.042496,136.524994,129.625,131.134995,130.970566,56064000,133.074997,,
5,1,2021,5/1,130.997498,134.434998,130.869995,134.047501,133.87941,32276000,132.6524965,,
6,1,2021,6/1,132.225006,132.449997,125.860001,126.144997,125.986816,58042400,129.154999,,
7,1,2021,7/1,129.675003,133.777496,128.865005,133.440002,133.272675,46148000,131.3212505,,
8,1,2021,8/1,133.625,134.210007,130.419998,132.767502,132.601013,29252800,132.3150025,,
11,1,2021,11/1,134.1875,139.610001,133.625,136.214996,136.044189,51834400,136.6175005,,
12,1,2021,12/1,137.524994,137.544998,133.449997,134.847504,134.678406,29147600,135.4974975,,
13,1,2021,13/1,134.899994,136.25,133.850006,135.317505,135.147842,21002800,135.050003,,
14,1,2021,14/1,135.75,135.997498,131.804993,132.002502,131.83699,28312000,133.9012455,,
15,1,2021,15/1,132.279999,133.252502,128.485001,128.595001,128.433746,27778000,130.8687515,,
19,1,2021,19/1,130.162506,130.940002,128.440002,130.252502,130.089172,22618800,129.690002,,
20,1,2021,20/1,131.117493,134.304993,130.567505,133.657501,133.489914,25857200,132.436249,,
21,1,2021,21/1,134.184998,139.992493,132.529999,138.675003,138.501114,33778000,136.261246,,
22,1,2021,22/1,137.399994,138.417496,136.272507,137.125,136.953049,24682000,137.3450015,,
25,1,2021,25/1,137.817505,138.285004,132.365005,136.532501,136.361298,25111200,135.3250045,,
26,1,2021,26/1,135.804993,136.447495,133.875,134.352493,134.184021,16398000,135.1612475,,
27,1,2021,27/1,132.300003,132.327499,127.9375,129.177505,129.015518,37127200,130.1324995,,
28,1,2021,28/1,129.962494,133.397507,129.604996,130.509995,130.346329,22831600,131.5012515,,
29,1,2021,29/1,130.75,133.347504,129.115005,129.897507,129.734634,27155200,131.2312545,,
1,2,2021,1/2,130.532501,132.707504,129.027496,132.369995,132.203995,21720400,130.8675,,
2,2,2021,2/2,133.987503,135.720001,132.854996,135.567505,135.397507,22044000,134.2874985,,
3,2,2021,3/2,136.360001,139.317505,135.164993,135.304993,135.13533,24540800,137.241249,,
4,2,2021,4/2,135.309998,136.735001,133.377502,136.642502,136.471146,20134000,135.0562515,,
5,2,2021,5/2,137.25,137.372498,135.457504,135.910004,135.739578,16915200,136.415001,,
8,2,2021,8/2,137.272507,144.737503,137.272507,144.387497,144.206436,43462400,141.005005,,
9,2,2021,9/2,143.407501,145.832504,142.225006,142.632507,142.453644,28756000,144.028755,,
10,2,2021,10/2,144.632507,149.050003,143.414993,147.642502,147.457352,48535200,146.232498,,
11,2,2021,11/2,149.802505,152.722504,149.25,152.507507,152.316269,45082800,150.986252,,
12,2,2021,12/2,150.5,152.912506,147.75,149.612503,149.424896,37475600,150.331253,,
16,2,2021,16/2,150.642502,153.725006,149.5,153.302505,153.11026,32196000,151.612503,,
17,2,2021,17/2,151.710007,152.235001,147.800003,149.059998,148.873062,27475600,150.017502,,
18,2,2021,18/2,147.289993,148.732498,145.75,148.289993,148.10405,23386800,147.241249,,
19,2,2021,19/2,150.244995,151.770004,148.467499,149.264999,149.07782,27172400,150.1187515,,
22,2,2021,22/2,147.747498,151.332504,143.25,143.557495,143.377487,32588400,147.291252,,
23,2,2021,23/2,140.752502,142.387497,133.895004,141.419998,141.242676,39178000,138.1412505,,
24,2,2021,24/2,141.227493,145.067505,137.559998,144.990005,144.808197,44832000,141.3137515,,
25,2,2021,25/2,140.455002,143.747498,132.162506,133.074997,132.908142,82443600,137.955002,,
26,2,2021,26/2,137.524994,138.544998,133.610001,137.145004,136.973022,50093200,136.0774995,,
1,3,2021,1/3,138.75,139.25,135.532501,138.417496,138.243942,35318400,137.3912505,,
2,3,2021,2/3,139,139.205002,133.960007,134.0625,133.894394,26411600,136.5825045,,
3,3,2021,3/3,134.262497,134.514999,127.987503,128.047501,127.886932,37759200,131.251251,,
4,3,2021,4/3,128.007507,129.75,120.837502,123.702499,123.547371,57334400,125.293751,,
5,3,2021,5/3,125.5,125.5,116.792503,124.614998,124.458733,54284000,121.1462515,,
8,3,2021,8/3,124.5,124.712502,115.665001,115.932503,115.787132,54311200,120.1887515,,
9,3,2021,9/3,121.302498,126.167503,120.592499,125.202499,125.088661,52182400,123.380001,,
10,3,2021,10/3,128.404999,129.800003,124.574997,124.682503,124.569138,38437600,127.1875,,
