Country/Currency,currency,value,date,Day,Month,Year
Sierra Leone Leone,SLL,12798.57213,2/1/2022,2,1,2022
Singapore Dollar,SGD,1.533612,2/1/2022,2,1,2022
Solomon Islands Dollar,SBD,9.203967,2/1/2022,2,1,2022
Somali Shilling,SOS,664.093312,2/1/2022,2,1,2022
South Africa Rand,ZAR,18.138658,2/1/2022,2,1,2022
South Korea Won,KRW,1351.929888,2/1/2022,2,1,2022
Sri Lanka Rupee,LKR,230.751407,2/1/2022,2,1,2022
St Helena Pound,SHP,1.566309,2/1/2022,2,1,2022
Sudan Pound,SDG,497.505305,2/1/2022,2,1,2022
Suriname Dollar,SRD,23.661765,2/1/2022,2,1,2022
Swaziland Lilangeni,SZL,18.13789,2/1/2022,2,1,2022
Sweden Krona,SEK,10.291223,2/1/2022,2,1,2022
Syria Pound,SYP,2857.069671,2/1/2022,2,1,2022
Taiwan Dollar,TWD,31.518378,2/1/2022,2,1,2022
Tanzania Shilling,TZS,2622.257729,2/1/2022,2,1,2022
Thailand Baht,THB,37.747586,2/1/2022,2,1,2022
Tonga Pa'anga,TOP,2.586555,2/1/2022,2,1,2022
Trinidad/Tobago Dollar,TTD,7.725487,2/1/2022,2,1,2022
Tunisia Dinar,TND,3.270207,2/1/2022,2,1,2022
Turkish New Lira,TRY,15.148032,2/1/2022,2,1,2022
Uganda Shilling,UGX,4031.995186,2/1/2022,2,1,2022
Ukraine Hryvnia,UAH,31.030458,2/1/2022,2,1,2022
Uruguay Peso,UYU,50.746114,2/1/2022,2,1,2022
United Arab Emirates Dirham,AED,4.176782,2/1/2022,2,1,2022
Vanuatu Vatu,VUV,128.784736,2/1/2022,2,1,2022
Vietnam Dong,VND,25989.45866,2/1/2022,2,1,2022
Yemen Rial,YER,284.571056,2/1/2022,2,1,2022
Zambia Kwacha,ZMK,10235.67748,2/1/2022,2,1,2022
Australia Dollar,AUD,1.561771,3/1/2022,3,1,2022
Great Britain Pound,GBP,0.840012,3/1/2022,3,1,2022
Euro,EUR,1,3/1/2022,3,1,2022
Japan Yen,JPY,130.976001,3/1/2022,3,1,2022
Switzerland Franc,CHF,1.037637,3/1/2022,3,1,2022
USA Dollar,USD,1.136496,3/1/2022,3,1,2022
Afghanistan Afghani,AFN,117.911208,3/1/2022,3,1,2022
Albania Lek,ALL,121.207092,3/1/2022,3,1,2022
Algeria Dinar,DZD,157.751981,3/1/2022,3,1,2022
Angola Kwanza,AOA,625.742892,3/1/2022,3,1,2022
Argentina Peso,ARS,116.742636,3/1/2022,3,1,2022
Armenia Dram,AMD,545.784178,3/1/2022,3,1,2022
Aruba Florin,AWG,2.045692,3/1/2022,3,1,2022
Azerbaijan New Manat,AZN,1.927909,3/1/2022,3,1,2022
Bahamas Dollar,BSD,1.136737,3/1/2022,3,1,2022
Bahrain Dinar,BHD,0.42841,3/1/2022,3,1,2022
Bangladesh Taka,BDT,97.440215,3/1/2022,3,1,2022
Barbados Dollar,BBD,2.295164,3/1/2022,3,1,2022
Belarus Ruble,BYR,22275.31298,3/1/2022,3,1,2022
Belize Dollar,BZD,2.291348,3/1/2022,3,1,2022
Bermuda Dollar,BMD,1.136496,3/1/2022,3,1,2022
Bhutan Ngultrum,BTN,84.522793,3/1/2022,3,1,2022
Bolivia Boliviano,BOB,7.837932,3/1/2022,3,1,2022
Bosnia Mark,BAM,1.964014,3/1/2022,3,1,2022
Botswana Pula,BWP,13.365391,3/1/2022,3,1,2022
Brazil Real,BRL,6.361083,3/1/2022,3,1,2022
Brunei Dollar,BND,1.534421,3/1/2022,3,1,2022
Bulgaria Lev,BGN,1.952851,3/1/2022,3,1,2022
Burundi Franc,BIF,2276.968855,3/1/2022,3,1,2022
CFA Franc BCEAO,XOF,658.601668,3/1/2022,3,1,2022
CFA Franc BEAC,XAF,658.713325,3/1/2022,3,1,2022
CFP Franc,XPF,120.298333,3/1/2022,3,1,2022
Cambodia Riel,KHR,4625.537065,3/1/2022,3,1,2022
Canada Dollar,CAD,1.437207,3/1/2022,3,1,2022
Cape Verde Escudo,CVE,110.523647,3/1/2022,3,1,2022
Cayman Islands Dollar,KYD,0.947247,3/1/2022,3,1,2022
Chili Peso,CLP,968.294052,3/1/2022,3,1,2022
China Yuan/Renminbi,CNY,7.22345,3/1/2022,3,1,2022
Colombia Peso,COP,4620.229495,3/1/2022,3,1,2022
Comoros Franc,KMF,494.233482,3/1/2022,3,1,2022
Congo Franc,CDF,2275.836693,3/1/2022,3,1,2022
Costa Rica Colon,CRC,729.730648,3/1/2022,3,1,2022
Croatia Kuna,HRK,7.512718,3/1/2022,3,1,2022
Cuba Convertible Peso,CUC,1.136496,3/1/2022,3,1,2022
Cuba Peso,CUP,30.117132,3/1/2022,3,1,2022
Czech Koruna,CZK,24.867716,3/1/2022,3,1,2022
Denmark Krone,DKK,7.436888,3/1/2022,3,1,2022
Djibouti Franc,DJF,201.978373,3/1/2022,3,1,2022
Dominican Republich Peso,DOP,65.20646,3/1/2022,3,1,2022
East Caribbean Dollar,XCD,3.071436,3/1/2022,3,1,2022
Egypt Pound,EGP,17.862341,3/1/2022,3,1,2022
El Salvador Colon,SVC,9.946445,3/1/2022,3,1,2022
Ethiopia Birr,ETB,55.859011,3/1/2022,3,1,2022
Falkland Islands Pound,FKP,0.857348,3/1/2022,3,1,2022
Fiji Dollar,FJD,2.414481,3/1/2022,3,1,2022
Gambia Dalasi,GMD,59.950231,3/1/2022,3,1,2022
Georgia Lari,GEL,3.517438,3/1/2022,3,1,2022
Ghana New Cedi,GHS,6.989506,3/1/2022,3,1,2022
Gibraltar Pound,GIP,0.857348,3/1/2022,3,1,2022
Guatemala Quetzal,GTQ,8.772654,3/1/2022,3,1,2022
Guinea Franc,GNF,10597.82078,3/1/2022,3,1,2022
Guyana Dollar,GYD,237.710494,3/1/2022,3,1,2022
Haiti Gourde,HTG,113.980937,3/1/2022,3,1,2022
Honduras Lempira,HNL,27.731414,3/1/2022,3,1,2022
Hong Kong Dollar,HKD,8.862221,3/1/2022,3,1,2022
Hungary Forint,HUF,369.429287,3/1/2022,3,1,2022
Iceland Krona,ISK,147.608212,3/1/2022,3,1,2022
India Rupee,INR,84.520035,3/1/2022,3,1,2022
Indonesia Rupiah,IDR,16189.9475,3/1/2022,3,1,2022
Iran Rial,IRR,48045.34909,3/1/2022,3,1,2022
Iraq Dinar,IQD,1659.283518,3/1/2022,3,1,2022
Israel New Shekel,ILS,3.535058,3/1/2022,3,1,2022
Jamaica Dollar,JMD,175.016259,3/1/2022,3,1,2022
Jordan Dinar,JOD,0.806006,3/1/2022,3,1,2022
Kazakhstan Tenge,KZT,494.480405,3/1/2022,3,1,2022
Kenya Shilling,KES,128.594485,3/1/2022,3,1,2022
Kuwait Dinar,KWD,0.343813,3/1/2022,3,1,2022
Kyrgyzstan Som,KGS,96.385717,3/1/2022,3,1,2022
Laos Kip,LAK,12711.70278,3/1/2022,3,1,2022
Lebanon Pound,LBP,1719.517853,3/1/2022,3,1,2022
Lesotho Loti,LSL,18.126769,3/1/2022,3,1,2022
Liberia Dollar,LRD,164.933958,3/1/2022,3,1,2022
Libya Dinar,LYD,5.225258,3/1/2022,3,1,2022
Macau Pataca,MOP,9.130868,3/1/2022,3,1,2022
Macedonia Denar,MKD,61.88703,3/1/2022,3,1,2022
Malagasy Ariary,MGA,4506.204599,3/1/2022,3,1,2022
Malawi Kwacha,MWK,925.107178,3/1/2022,3,1,2022
Malaysia Ringgit,MYR,4.743164,3/1/2022,3,1,2022
Maldives Rufiyaa,MVR,17.498865,3/1/2022,3,1,2022
Mauritania Ouguiya,MRO,405.728719,3/1/2022,3,1,2022
Mauritius Rupee,MUR,49.529292,3/1/2022,3,1,2022
Mexico Peso,MXN,23.274062,3/1/2022,3,1,2022
Moldova Leu,MDL,20.228589,3/1/2022,3,1,2022
Mongolia Tugrik,MNT,3248.541467,3/1/2022,3,1,2022
Morocco Dirham,MAD,10.546367,3/1/2022,3,1,2022
